accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.351878793742700147e+00,1.581483645717684516e-01,9.204496165702689581e+00
-3.353788829281849182e+00,1.695810155133789798e-01,9.185032568106866080e+00
-3.343114873777083051e+00,1.563689985042932273e-01,9.201470946011419016e+00
-3.343962652006857272e+00,1.579871072578257485e-01,9.181280599196004033e+00
-3.350896795758901092e+00,1.679123100210474784e-01,9.201291841687316619e+00
-3.347719767831377702e+00,1.652683274160137994e-01,9.167345642312008991e+00
-3.340599248689979817e+00,1.546430790663566035e-01,9.182538299725887754e+00
-3.348433489294730947e+00,1.615883506706267125e-01,9.166394784977780930e+00
-3.335882483781876129e+00,1.624767986837755696e-01,9.185185501786307327e+00
-3.347058901724397906e+00,1.633644384238420733e-01,9.177487068815743498e+00
-3.342211555794094124e+00,1.622072507660578811e-01,9.175577773368965850e+00
-3.339581574291098143e+00,1.593250646036379614e-01,9.187433627210261022e+00
-3.347037445959531787e+00,1.590510594548247281e-01,9.188698886624218076e+00
-3.352745944311255499e+00,1.583339548196653068e-01,9.178853647235179380e+00
-3.347651299613093379e+00,1.556076304131160659e-01,9.193486867143526808e+00
-3.339798269564604905e+00,1.608108890711053562e-01,9.200638206721139412e+00
-3.340533506365019445e+00,1.696024693094199953e-01,9.187177471458660705e+00
-3.348057745414889208e+00,1.667744032129387932e-01,9.190556488444569183e+00
-3.341446426322710828e+00,1.557225154412846813e-01,9.193233789987308668e+00
-3.346987646851565135e+00,1.636489275083711781e-01,9.189286087919565915e+00
-3.346813353398139235e+00,1.615518168659746123e-01,9.199054741492613374e+00
-3.345483967046658069e+00,1.545198576144135583e-01,9.183755724317665070e+00
-3.346724285876129468e+00,1.610546833870249717e-01,9.178143391979958210e+00
-3.347399881307792757e+00,1.561316268319975220e-01,9.189887504083708691e+00
-3.343898546066613076e+00,1.677567595813974910e-01,9.175585508620073938e+00
-3.348149375387384108e+00,1.656472641625086895e-01,9.209811551745026748e+00
-3.341001721400254532e+00,1.685192469496337164e-01,9.184105967185416830e+00
-3.345357691954602419e+00,1.603027595169512765e-01,9.178764268495710255e+00
-3.348217883170856002e+00,1.675207156521078267e-01,9.195231605676125852e+00
-3.351652344996986166e+00,1.578197261266570950e-01,9.177492201129771487e+00
-3.340507671520368760e+00,1.580764909277042884e-01,9.198103704856153584e+00
-3.338748276944611959e+00,1.597480916858230182e-01,9.184928378885212297e+00
-3.348385539464366012e+00,1.560101613503243612e-01,9.188207398984680196e+00
-3.350757850368776491e+00,1.592036808563133121e-01,9.185234620756716595e+00
-3.345978851124644216e+00,1.668089184387891444e-01,9.192098653554543475e+00
-3.341803401518526062e+00,1.612530771382699457e-01,9.184022695971613359e+00
-3.340537561381343501e+00,1.631127194393692803e-01,9.191381028898721439e+00
-3.339281738186469894e+00,1.621964913748240866e-01,9.188431558207488692e+00
-3.341693127383805972e+00,1.588766170341194273e-01,9.193861397916794687e+00
-3.351943461892464615e+00,1.609375571160449880e-01,9.185726884885545118e+00
-3.348508109411826084e+00,1.609804119272598977e-01,9.186611081196167206e+00
-3.345344669633476542e+00,1.565490642447264213e-01,9.211076881567942465e+00
-3.342037625289711489e+00,1.693144890380911538e-01,9.194602269887385049e+00
-3.348183291387007987e+00,1.555214304000269165e-01,9.192853430572759166e+00
-3.344298536156317780e+00,1.605568414775639940e-01,9.198960629249345544e+00
