gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
1.000029245826462132e+00,-4.987251555435624523e-05,2.504913916607979907e+00,2.050659708342602097e-02,8.181031401375005174e-02,-3.268313783663303208e-04
9.999156040639737286e-01,-3.548573622133371718e-05,-4.919750986656054259e+00,-5.454093052796991740e-03,1.148022684504807281e-02,-3.286232762776544747e-02
9.999607046825477186e-01,-1.612717667035600097e-05,-5.506048297379174949e-02,-3.231825164595997224e-02,6.432258926301899493e-03,4.562505046268210303e-03
1.000008760754691250e+00,2.778496259155728530e-05,8.481598542818575837e+00,2.377484726047840100e-02,-1.367294571077054544e-02,5.588007319201099277e-02
1.000005285796602639e+00,2.580290082004820879e-05,-4.963110617489757459e+00,-3.917990792285400842e-02,-9.974781019930036019e-02,1.385911747132862262e-02
9.999386175919888764e-01,8.145714017582922611e-05,-3.099077747445472042e+00,3.942881413953652769e-02,-2.334277065899364578e-03,-3.568519291851893205e-02
1.000046248323045228e+00,3.548540774964688922e-05,2.848897882575602836e+00,1.041578923505455216e-02,2.380396144264983888e-02,4.735827952197418922e-02
9.999050503005704194e-01,1.871941346591127691e-05,-1.501639835618988172e+00,-1.290933557748092167e-02,-9.798800179573290137e-03,3.871939455096041344e-02
9.999736003711984234e-01,-7.294007043384526903e-05,-5.490237855946086043e+00,-3.963240193890370938e-02,1.129910924060187685e-02,-2.923780824942236525e-02
1.000028897240701875e+00,-5.105369530811838721e-05,1.563673221321178275e+01,3.172797354218739180e-03,1.528073901083762745e-02,3.830578219357640146e-02
1.000014050111259101e+00,4.469419497224475245e-05,-4.760302608479250353e+00,-1.907017192764201910e-02,-8.945682976826116461e-02,1.123915385627728414e-01
9.999151028856804180e-01,6.123541037880398340e-05,-9.859988580907893763e+00,-2.868419323396489973e-02,4.509783417343118939e-02,4.523835083324706519e-02
9.999832211753540978e-01,3.278263796987171310e-05,1.290678900218497738e+01,-4.544481530242377998e-02,-7.131585642042334583e-02,-4.660657021118523591e-02
1.000016956830913850e+00,-2.022727335956319549e-06,2.726552678364346338e+00,-2.775050087647915747e-02,-7.634689138258331231e-02,-3.767262434163974605e-02
9.999369683884745674e-01,-5.053030226161645971e-06,7.673112873179518623e+00,2.492120978120793140e-02,1.834356359434655831e-02,3.466769106099062275e-02
9.999925394376100174e-01,2.525422439286004246e-05,-1.015182363067084204e+01,-4.674977578709277326e-02,1.323188941807501295e-01,-3.728437532944677696e-02
9.999498979849854585e-01,-5.549809140105836251e-05,7.425883064793215027e+00,1.232324731897060932e-02,3.099483945507806176e-02,7.016667872461267164e-03
9.999692855008998071e-01,-6.075102222417481327e-05,1.792839816616411230e+00,6.983370132682598097e-02,8.015522171591822967e-03,-6.215868550278078053e-02
9.999678100392976887e-01,-1.688688935948773776e-05,2.798859789859701408e+00,8.025468427854223763e-02,1.341014522297636659e-02,-2.198891435543775044e-02
