gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.881660495721424298e-02,-3.100155434618333261e-02,-4.991058583587893588e-02
-3.313009572767414666e-03,-1.593166060001725837e-03,4.479206629863766512e-03
-7.332530090066321019e-03,4.861152582359531960e-02,2.836297988272465723e-02
1.177058470530242991e-02,3.802858567501648385e-02,2.911446171035001612e-02
4.331016999054079081e-02,3.016070127083846433e-02,2.617966458697624718e-02
3.624038355082034174e-02,7.201443686977196390e-02,6.858704071471263819e-02
2.911304902315435539e-02,3.922769098251435022e-02,-3.566381771583551630e-02
3.609191379157684204e-02,3.666802685773214165e-02,-7.059807554133115670e-03
4.360952032307862519e-02,5.905352995969843921e-02,2.571943529010159782e-02
7.133495710475663831e-02,-3.375303267487583109e-02,-3.650866540286562545e-02
-7.715802028527373076e-03,4.089726015692418670e-02,4.927533934488174255e-02
-3.006650119885264510e-03,-2.744507891684076772e-02,-1.244726996227134112e-02
-6.963518929995064777e-02,8.003287713766175926e-03,-6.233483176683568550e-02
-8.214337773560553835e-02,-1.194178774687477095e-03,8.961650058381922385e-03
-3.050073796939235110e-02,5.947078674937876161e-03,1.944493898916108132e-02
-2.269563970479119425e-02,-4.688847399186991081e-03,3.970677714957510790e-02
2.340946374844364228e-02,4.950220335997822414e-03,1.756321225423664902e-03
5.988568969772668782e-02,1.879524660741783981e-02,1.308260688773723972e-02
1.000842367890079909e-02,8.349171845541829978e-03,7.921898632891534453e-03
1.326869055722890503e-02,6.312676298197020253e-02,3.201007746948011934e-02
-3.532680762048426987e-02,1.202868423975748599e-02,1.679079344919566855e-02
-3.087490170986950753e-03,-3.086163589435482121e-02,-5.687158408566034967e-02
-9.167855207870274914e-02,-5.614423752236751691e-02,-9.225534624807578410e-02
-4.842281616917556292e-02,-1.787041545197930528e-02,3.299472348626297791e-02
-1.497011572829811711e-02,7.045056728204568408e-02,4.758608567759080310e-02
-6.573035187469337959e-02,8.811051227617444637e-02,-3.335356373845651395e-02
-5.878278724806584171e-02,8.257501252424810645e-03,5.643719190229448679e-02
1.684624520379565671e-02,2.634599405045498152e-02,1.598274656596425022e-02
2.725067417421879815e-02,-2.052970454370007039e-02,-3.818355318324694048e-02
-1.891650829488814023e-02,-5.540742237677545590e-02,7.692260054566701921e-02
-1.854408588086425488e-02,-4.785963164973212197e-02,-1.818814347603233067e-03
8.855656114835913292e-03,7.966320197715984208e-02,-5.031848920851023088e-02
-4.327693597320179941e-02,2.868676447888672890e-02,-7.228595187639577646e-02
8.009845096677563336e-03,6.241321135551747279e-02,-1.528985914617274865e-02
2.167707006811242856e-02,-3.315406279810709234e-03,-7.406714833200678250e-02
-2.072610020815675649e-02,2.180887504116534037e-02,-7.530538031641330864e-03
-6.985430562452117631e-02,-7.843266487306200380e-03,2.422248093654082862e-02
-5.199319908341549362e-02,-8.377231071022377129e-02,-1.022836609402529191e-02
-1.779390095725107493e-02,-1.332747431756363052e-02,-5.293870400661848663e-02
7.817847025503548222e-03,-7.511892029779668190e-02,-2.703305742111824020e-02
-1.468558406877210239e-02,-2.950954370472561039e-02,-7.764166999115779122e-02
2.228999914747726522e-03,6.753474258662783836e-02,-5.411866300613074610e-02
7.144766140710617774e-02,-5.415852490334436414e-02,-5.846955754352270137e-04
-1.070405500744584792e-01,3.325080959065210978e-02,-6.428029588101696890e-02
1.241649049798262440e-02,4.611174000066121936e-02,8.903487142234487936e-03
-5.558296004202100370e-03,-8.826859108091694717e-03,-6.953187646769002500e-03
-4.564363706492651634e-02,-1.122218172344280861e-02,-5.717665076223042014e-02
-2.687647262511405621e-02,1.131314109172748897e-02,-1.483670577579253649e-02
-2.505912850359280630e-02,-8.462659100702797643e-02,-1.069674709973909843e-02
-1.705523695275681581e-02,-4.329353476665255204e-03,-9.761210598480278338e-04
4.422578758174199043e-02,5.700932444508108321e-02,5.681080905534233866e-02
2.093362488398360297e-02,-3.007433287248291801e-02,3.279394389467817778e-02
-1.069663611924219493e-02,7.987159427690820879e-02,-8.602650304981683885e-03
-3.777320763190428199e-02,1.985615767681366342e-02,6.896561255808932034e-02
-1.931662204557268656e-02,-3.244950794523756427e-02,5.151940061655266995e-02
-2.590317055029652329e-02,1.637592364606559395e-02,1.873807311629627562e-02
2.192283698444087367e-02,-2.123987313233406324e-02,-1.544560985021431292e-02
1.067356603480588279e-01,-3.390096343276050028e-02,6.708583243183934008e-02
-7.467978620737479589e-02,1.915792013419626710e-02,-2.053812941646623522e-02
4.821650044289713111e-02,-2.307255184087642422e-02,-5.464438486892852706e-03
4.212946342890644402e-02,-2.583708346728282729e-02,2.516821279315567539e-02
2.159401925286785415e-02,-3.664979406868455053e-02,5.652966894941423986e-02
-2.410269471239217046e-02,-3.164381684123323407e-02,-7.956073533151539201e-02
3.130880491124511666e-02,4.902771800388063678e-02,-9.485616685736497633e-03
-4.496295027695403242e-03,6.919869572898604271e-02,4.463350787278174553e-03
1.564812872746957143e-02,-3.983399246701919971e-02,8.711745656989616782e-02
-3.153046491776372723e-02,4.992424525303043592e-02,-1.921323114022786480e-02
1.977572725163684320e-02,-5.576824484078909266e-02,-2.938268327667615740e-02
-2.714827734875912765e-02,4.714935262695169049e-02,5.832280277453848194e-02
-1.057941404548420755e-01,-2.248590247936479644e-02,-2.402444788231218598e-02
