ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
1.800000000000000000e+02,-2.000000000000000355e+01,-1.790000000000000000e+02
